数据集,变量一,变量二,Spearman相关系数,P值,样本数
女胎,BMI_calc,被过滤掉读段数的比例,0.014276534455277014,0.7260025409161389,605
女胎,BMI_calc,13号染色体的Z值,0.07355884505417766,0.07060392979036187,605
女胎,BMI_calc,18号染色体的Z值,0.1566323360584937,0.00010947036043986451,605
女胎,BMI_calc,21号染色体的Z值,0.096092567388417,0.018071511946936233,605
女胎,BMI_calc,X染色体的Z值,0.1637681647240773,5.183633381544288e-05,605
女胎,BMI_calc,X染色体浓度,0.012176173862257863,0.7650270460619525,605
女胎,BMI_calc,abnormal_any,-0.03504438313962628,0.3895357848128621,605
女胎,孕周_连续值,年龄,0.03852477364641125,0.34416100492270946,605
女胎,孕周_连续值,身高,-0.012408305704346678,0.7606826232382866,605
女胎,孕周_连续值,体重,0.13553244159297181,0.0008311822109504192,605
女胎,孕周_连续值,BMI_calc,0.22802356889223138,1.4119985345006525e-08,605
女胎,孕周_连续值,孕周_连续值,0.9999999999999999,0.0,605
女胎,孕周_连续值,检测抽血次数,0.9428402372305232,5.802524446564884e-290,605
女胎,孕周_连续值,原始读段数,-0.16565927479574571,4.2294054358404346e-05,605
女胎,孕周_连续值,在参考基因组上比对的比例,-0.11414404622821213,0.004939419836163963,605
女胎,孕周_连续值,重复读段的比例,0.021305788349040594,0.6009542895049104,605
女胎,孕周_连续值,唯一比对的读段数,-0.18150371655276523,7.038016704147094e-06,605
女胎,孕周_连续值,GC含量,-0.07623962384120628,0.060917066791973826,605
女胎,孕周_连续值,被过滤掉读段数的比例,-0.05709966562223848,0.16070449656879818,605
女胎,孕周_连续值,13号染色体的Z值,0.10468356042288045,0.009976785796110376,605
女胎,孕周_连续值,18号染色体的Z值,0.2174128251441779,6.614901421135542e-08,605
女胎,孕周_连续值,21号染色体的Z值,0.09615926132679824,0.017991251123382547,605
女胎,孕周_连续值,X染色体的Z值,0.12735315424177976,0.001696501341085785,605
女胎,孕周_连续值,X染色体浓度,-0.03195183964777321,0.43275480458339677,605
女胎,孕周_连续值,abnormal_any,0.06405463032308395,0.1155119974749738,605
女胎,检测抽血次数,年龄,0.02173828169641363,0.5935848792052876,605
女胎,检测抽血次数,身高,0.01273176981497285,0.7546414474588231,605
女胎,检测抽血次数,体重,0.1586596102782088,8.8809590765622e-05,605
女胎,检测抽血次数,BMI_calc,0.23902902077002167,2.6215900837465233e-09,605
女胎,检测抽血次数,孕周_连续值,0.9428402372305233,5.802524446561226e-290,605
女胎,检测抽血次数,检测抽血次数,0.9999999999999998,0.0,605
女胎,检测抽血次数,原始读段数,-0.13907518689558068,0.000602675816661986,605
女胎,检测抽血次数,在参考基因组上比对的比例,-0.10161041316967179,0.012398597311670938,605
女胎,检测抽血次数,重复读段的比例,0.022631311777238747,0.5785003222776961,605
女胎,检测抽血次数,唯一比对的读段数,-0.1531634492258721,0.00015565582274920434,605
女胎,检测抽血次数,GC含量,-0.09507223623208566,0.01933897142660361,605
女胎,检测抽血次数,被过滤掉读段数的比例,-0.04367601086646594,0.2834605123096461,605
女胎,检测抽血次数,13号染色体的Z值,0.10684312118226615,0.008536214128017168,605
女胎,检测抽血次数,18号染色体的Z值,0.22795428592127295,1.4266658266678364e-08,605
女胎,检测抽血次数,21号染色体的Z值,0.09851336959875627,0.015350774012711892,605
女胎,检测抽血次数,X染色体的Z值,0.16627888976872304,3.9547430675173603e-05,605
女胎,检测抽血次数,X染色体浓度,-0.04019151161470771,0.32367459638255397,605
女胎,检测抽血次数,abnormal_any,0.0357959244423805,0.379442403802196,605
女胎,原始读段数,年龄,-0.04352892817490907,0.28508654879683837,605
女胎,原始读段数,身高,-0.04437807271723852,0.27578548141197895,605
女胎,原始读段数,体重,-0.10817526918354738,0.0077429985867108085,605
女胎,原始读段数,BMI_calc,-0.10862764339488823,0.007489021253429542,605
女胎,原始读段数,孕周_连续值,-0.16565927479574574,4.2294054358404224e-05,605
女胎,原始读段数,检测抽血次数,-0.13907518689558068,0.000602675816661986,605
女胎,原始读段数,原始读段数,1.0,0.0,605
女胎,原始读段数,在参考基因组上比对的比例,0.1271434307789599,0.001726918113213533,605
女胎,原始读段数,重复读段的比例,0.15062922306679796,0.0002003586937929822,605
女胎,原始读段数,唯一比对的读段数,0.9916988508001914,0.0,605
女胎,原始读段数,GC含量,0.09400819799932099,0.02074258554238892,605
女胎,原始读段数,被过滤掉读段数的比例,-0.0522695436310639,0.19918406104505507,605
女胎,原始读段数,13号染色体的Z值,-0.09959650390084163,0.014254707778519244,605
女胎,原始读段数,18号染色体的Z值,-0.22329016766818163,2.83894674628806e-08,605
女胎,原始读段数,21号染色体的Z值,0.00967426062293165,0.8122931256136141,605
女胎,原始读段数,X染色体的Z值,-0.0847293579448252,0.03720527072424172,605
女胎,原始读段数,X染色体浓度,-0.044001341735618475,0.27988619184759267,605
女胎,原始读段数,abnormal_any,-0.013480773925557172,0.7407105862463005,605
女胎,在参考基因组上比对的比例,年龄,-0.013961041928118369,0.7318220882360482,605
女胎,在参考基因组上比对的比例,身高,0.043076961236354856,0.29012247269020697,605
女胎,在参考基因组上比对的比例,体重,-0.05303410257239955,0.19268213159471312,605
女胎,在参考基因组上比对的比例,BMI_calc,-0.08176105690636896,0.044403287733111405,605
女胎,在参考基因组上比对的比例,孕周_连续值,-0.11414404622821213,0.004939419836163963,605
女胎,在参考基因组上比对的比例,检测抽血次数,-0.10161041316967177,0.012398597311670938,605
女胎,在参考基因组上比对的比例,原始读段数,0.1271434307789599,0.001726918113213533,605
女胎,在参考基因组上比对的比例,在参考基因组上比对的比例,1.0,0.0,605
女胎,在参考基因组上比对的比例,重复读段的比例,-0.1546532919396696,0.00013393858108628294,605
女胎,在参考基因组上比对的比例,唯一比对的读段数,0.21784925632840224,6.217199801682646e-08,605
女胎,在参考基因组上比对的比例,GC含量,-0.05115356276804993,0.2089594367485337,605
女胎,在参考基因组上比对的比例,被过滤掉读段数的比例,0.07770578382341545,0.05610155749079924,605
女胎,在参考基因组上比对的比例,13号染色体的Z值,-0.12530802749149086,0.002015251808811562,605
女胎,在参考基因组上比对的比例,18号染色体的Z值,-0.1389040469369032,0.0006122143982878681,605
女胎,在参考基因组上比对的比例,21号染色体的Z值,-0.027660291616157403,0.4970896293139417,605
女胎,在参考基因组上比对的比例,X染色体的Z值,-0.10280073762945229,0.011404934731570969,605
女胎,在参考基因组上比对的比例,X染色体浓度,0.020383760230327667,0.6168009745027665,605
女胎,在参考基因组上比对的比例,abnormal_any,0.0043126413229411095,0.9156949646398784,605
女胎,重复读段的比例,年龄,0.017020111319918572,0.6760905222439464,605
女胎,重复读段的比例,身高,0.050878003605476035,0.21142568224776617,605
女胎,重复读段的比例,体重,0.07266543987717511,0.07409946110965644,605
女胎,重复读段的比例,BMI_calc,0.056707189068926446,0.16360498774121446,605
女胎,重复读段的比例,孕周_连续值,0.021305788349040598,0.6009542895049104,605
女胎,重复读段的比例,检测抽血次数,0.022631311777238747,0.5785003222776961,605
女胎,重复读段的比例,原始读段数,0.15062922306679796,0.0002003586937929822,605
女胎,重复读段的比例,在参考基因组上比对的比例,-0.1546532919396696,0.00013393858108628294,605
女胎,重复读段的比例,重复读段的比例,1.0,0.0,605
女胎,重复读段的比例,唯一比对的读段数,0.12548625723499504,0.0019854343781814266,605
女胎,重复读段的比例,GC含量,0.13466948021115377,0.0008978575709819157,605
女胎,重复读段的比例,被过滤掉读段数的比例,-0.02828672391622064,0.4873928441000045,605
女胎,重复读段的比例,13号染色体的Z值,0.10265973617229272,0.011518837523861123,605
女胎,重复读段的比例,18号染色体的Z值,0.10615946603691073,0.008970789474615897,605
女胎,重复读段的比例,21号染色体的Z值,-0.04041079002542036,0.3210396157196334,605
女胎,重复读段的比例,X染色体的Z值,0.05314226786917103,0.19177498692964498,605
女胎,重复读段的比例,X染色体浓度,-0.017213069892178863,0.6726300003009555,605
女胎,重复读段的比例,abnormal_any,-0.03362653898656878,0.4090160085143177,605
女胎,唯一比对的读段数,年龄,-0.0436112617996546,0.284175556005213,605
女胎,唯一比对的读段数,身高,-0.046029115450835816,0.2582974657102033,605
女胎,唯一比对的读段数,体重,-0.11481777907930543,0.004688956037545226,605
女胎,唯一比对的读段数,BMI_calc,-0.11403664498399542,0.004980443775818229,605
女胎,唯一比对的读段数,孕周_连续值,-0.18150371655276523,7.038016704147094e-06,605
女胎,唯一比对的读段数,检测抽血次数,-0.1531634492258721,0.00015565582274920434,605
女胎,唯一比对的读段数,原始读段数,0.9916988508001914,0.0,605
女胎,唯一比对的读段数,在参考基因组上比对的比例,0.21784925632840224,6.217199801682646e-08,605
女胎,唯一比对的读段数,重复读段的比例,0.12548625723499504,0.0019854343781814266,605
女胎,唯一比对的读段数,唯一比对的读段数,1.0,0.0,605
女胎,唯一比对的读段数,GC含量,0.08742887050122808,0.03154437107794452,605
女胎,唯一比对的读段数,被过滤掉读段数的比例,-0.04062727765853045,0.3184519225452255,605
女胎,唯一比对的读段数,13号染色体的Z值,-0.11401268362838692,0.00498963809815618,605
女胎,唯一比对的读段数,18号染色体的Z值,-0.23925362433895406,2.5308039149738414e-09,605
女胎,唯一比对的读段数,21号染色体的Z值,0.008371378980161713,0.8371920745044926,605
女胎,唯一比对的读段数,X染色体的Z值,-0.09239253245011436,0.023043119929622307,605
女胎,唯一比对的读段数,X染色体浓度,-0.042657221772749214,0.29485249061278085,605
女胎,唯一比对的读段数,abnormal_any,-0.009620507566560936,0.8133168306036334,605
女胎,GC含量,年龄,0.023239196119098856,0.5683362080279929,605
女胎,GC含量,身高,-0.06477003602078289,0.11149508409348859,605
女胎,GC含量,体重,-0.0996369044265188,0.014215192278225644,605
女胎,GC含量,BMI_calc,-0.09064341203878935,0.02577975888782942,605
女胎,GC含量,孕周_连续值,-0.07623962384120628,0.060917066791973826,605
女胎,GC含量,检测抽血次数,-0.09507223623208565,0.01933897142660366,605
女胎,GC含量,原始读段数,0.09400819799932097,0.02074258554238894,605
女胎,GC含量,在参考基因组上比对的比例,-0.05115356276804993,0.2089594367485337,605
女胎,GC含量,重复读段的比例,0.13466948021115374,0.0008978575709819174,605
女胎,GC含量,唯一比对的读段数,0.08742887050122808,0.03154437107794452,605
女胎,GC含量,GC含量,1.0,0.0,605
女胎,GC含量,被过滤掉读段数的比例,-0.03745087082016125,0.3577885233145154,605
女胎,GC含量,13号染色体的Z值,-0.10930092254214631,0.007124810614304038,605
女胎,GC含量,18号染色体的Z值,-0.13969202046217294,0.0005694292560618664,605
女胎,GC含量,21号染色体的Z值,-0.0764760592378993,0.060118169602458194,605
女胎,GC含量,X染色体的Z值,-0.1842802908504617,5.05595645718149e-06,605
女胎,GC含量,X染色体浓度,-0.0032825107157654306,0.9357820720800699,605
女胎,GC含量,abnormal_any,-0.022980648479727778,0.5726488286194049,605
女胎,被过滤掉读段数的比例,年龄,0.031023733979989223,0.4462461237698457,605
女胎,被过滤掉读段数的比例,身高,0.05426663413315223,0.1825302841635921,605
女胎,被过滤掉读段数的比例,体重,0.04286601431409688,0.2924932151832631,605
女胎,被过滤掉读段数的比例,BMI_calc,0.014276534455277014,0.7260025409161389,605
女胎,被过滤掉读段数的比例,孕周_连续值,-0.05709966562223847,0.16070449656879826,605
女胎,被过滤掉读段数的比例,检测抽血次数,-0.04367601086646594,0.2834605123096461,605
女胎,被过滤掉读段数的比例,原始读段数,-0.0522695436310639,0.19918406104505507,605
女胎,被过滤掉读段数的比例,在参考基因组上比对的比例,0.07770578382341545,0.05610155749079924,605
女胎,被过滤掉读段数的比例,重复读段的比例,-0.02828672391622064,0.4873928441000045,605
女胎,被过滤掉读段数的比例,唯一比对的读段数,-0.04062727765853045,0.3184519225452255,605
女胎,被过滤掉读段数的比例,GC含量,-0.03745087082016124,0.35778852331451544,605
女胎,被过滤掉读段数的比例,被过滤掉读段数的比例,1.0,0.0,605
女胎,被过滤掉读段数的比例,13号染色体的Z值,0.05490711623841492,0.17741372559231275,605
女胎,被过滤掉读段数的比例,18号染色体的Z值,0.014009703197893538,0.7309234726924997,605
女胎,被过滤掉读段数的比例,21号染色体的Z值,-0.03103202553849605,0.4461245463704913,605
女胎,被过滤掉读段数的比例,X染色体的Z值,0.03321413417681322,0.41478893807103023,605
女胎,被过滤掉读段数的比例,X染色体浓度,0.03156752761368852,0.4383125368517817,605
女胎,被过滤掉读段数的比例,abnormal_any,-0.018185473550583836,0.6552972378780048,605
女胎,13号染色体的Z值,年龄,-0.07374781562502125,0.06988212700355456,605
女胎,13号染色体的Z值,身高,0.013094316577094865,0.7478881133958043,605
女胎,13号染色体的Z值,体重,0.06984470072646028,0.08607124782223236,605
女胎,13号染色体的Z值,BMI_calc,0.07355884505417766,0.07060392979036187,605
女胎,13号染色体的Z值,孕周_连续值,0.10468356042288045,0.009976785796110376,605
女胎,13号染色体的Z值,检测抽血次数,0.10684312118226615,0.008536214128017168,605
女胎,13号染色体的Z值,原始读段数,-0.09959650390084163,0.014254707778519244,605
女胎,13号染色体的Z值,在参考基因组上比对的比例,-0.12530802749149086,0.002015251808811562,605
女胎,13号染色体的Z值,重复读段的比例,0.10265973617229272,0.011518837523861123,605
女胎,13号染色体的Z值,唯一比对的读段数,-0.11401268362838692,0.00498963809815618,605
女胎,13号染色体的Z值,GC含量,-0.10930092254214631,0.007124810614304038,605
女胎,13号染色体的Z值,被过滤掉读段数的比例,0.05490711623841492,0.17741372559231275,605
女胎,13号染色体的Z值,13号染色体的Z值,1.0,0.0,605
女胎,13号染色体的Z值,18号染色体的Z值,0.4498200090930225,1.7954355551227006e-31,605
女胎,13号染色体的Z值,21号染色体的Z值,0.10570275570603417,0.009271978980535908,605
女胎,13号染色体的Z值,X染色体的Z值,0.5266239688387864,1.812005997744528e-44,605
女胎,13号染色体的Z值,X染色体浓度,0.002267186381491852,0.9556205080138317,605
女胎,13号染色体的Z值,abnormal_any,-0.04065343009317912,0.31814024557704146,605
女胎,18号染色体的Z值,年龄,-0.027285820045455572,0.5029348109862496,605
女胎,18号染色体的Z值,身高,0.03520334496287254,0.3873874139430958,605
女胎,18号染色体的Z值,体重,0.15171587465869912,0.00017988896207850018,605
女胎,18号染色体的Z值,BMI_calc,0.1566323360584937,0.00010947036043986451,605
女胎,18号染色体的Z值,孕周_连续值,0.21741282514417787,6.614901421135612e-08,605
女胎,18号染色体的Z值,检测抽血次数,0.22795428592127298,1.4266658266678258e-08,605
女胎,18号染色体的Z值,原始读段数,-0.22329016766818163,2.83894674628806e-08,605
女胎,18号染色体的Z值,在参考基因组上比对的比例,-0.1389040469369032,0.0006122143982878681,605
女胎,18号染色体的Z值,重复读段的比例,0.10615946603691073,0.008970789474615897,605
女胎,18号染色体的Z值,唯一比对的读段数,-0.23925362433895406,2.5308039149738414e-09,605
女胎,18号染色体的Z值,GC含量,-0.13969202046217294,0.0005694292560618664,605
女胎,18号染色体的Z值,被过滤掉读段数的比例,0.014009703197893538,0.7309234726924997,605
女胎,18号染色体的Z值,13号染色体的Z值,0.4498200090930225,1.7954355551227006e-31,605
女胎,18号染色体的Z值,18号染色体的Z值,1.0,0.0,605
女胎,18号染色体的Z值,21号染色体的Z值,-0.03744927171826153,0.35780906477657815,605
女胎,18号染色体的Z值,X染色体的Z值,0.4807676613537332,2.5744200860617322e-36,605
女胎,18号染色体的Z值,X染色体浓度,0.07010796203039932,0.08489176152697735,605
女胎,18号染色体的Z值,abnormal_any,0.013179190616260593,0.74630988582649,605
女胎,21号染色体的Z值,年龄,-0.010664162139348423,0.793499783932447,605
女胎,21号染色体的Z值,身高,-0.07013245841971526,0.08478267705769515,605
女胎,21号染色体的Z值,体重,0.02299954991212373,0.5723330249584988,605
女胎,21号染色体的Z值,BMI_calc,0.09609256738841698,0.018071511946936247,605
女胎,21号染色体的Z值,孕周_连续值,0.09615926132679822,0.017991251123382568,605
女胎,21号染色体的Z值,检测抽血次数,0.09851336959875626,0.015350774012711907,605
女胎,21号染色体的Z值,原始读段数,0.00967426062293165,0.8122931256136141,605
女胎,21号染色体的Z值,在参考基因组上比对的比例,-0.027660291616157403,0.4970896293139417,605
女胎,21号染色体的Z值,重复读段的比例,-0.04041079002542036,0.3210396157196334,605
女胎,21号染色体的Z值,唯一比对的读段数,0.008371378980161713,0.8371920745044926,605
女胎,21号染色体的Z值,GC含量,-0.07647605923789931,0.06011816960245817,605
女胎,21号染色体的Z值,被过滤掉读段数的比例,-0.03103202553849605,0.4461245463704913,605
女胎,21号染色体的Z值,13号染色体的Z值,0.10570275570603417,0.009271978980535908,605
女胎,21号染色体的Z值,18号染色体的Z值,-0.03744927171826153,0.35780906477657815,605
女胎,21号染色体的Z值,21号染色体的Z值,1.0,0.0,605
女胎,21号染色体的Z值,X染色体的Z值,0.024359004232753195,0.5498386509474564,605
女胎,21号染色体的Z值,X染色体浓度,-0.10468474902878609,0.009975936845650006,605
女胎,21号染色体的Z值,abnormal_any,0.05558180390335989,0.1721399668489467,605
女胎,X染色体的Z值,年龄,-0.07149696441748,0.0788828428134854,605
女胎,X染色体的Z值,身高,0.030442360930593357,0.4548174620935797,605
女胎,X染色体的Z值,体重,0.14040014933416697,0.0005333658694890973,605
女胎,X染色体的Z值,BMI_calc,0.16376816472407732,5.183633381544288e-05,605
女胎,X染色体的Z值,孕周_连续值,0.1273531542417798,0.0016965013410857853,605
女胎,X染色体的Z值,检测抽血次数,0.16627888976872304,3.9547430675173603e-05,605
女胎,X染色体的Z值,原始读段数,-0.0847293579448252,0.03720527072424172,605
女胎,X染色体的Z值,在参考基因组上比对的比例,-0.10280073762945229,0.011404934731570969,605
女胎,X染色体的Z值,重复读段的比例,0.05314226786917103,0.19177498692964498,605
女胎,X染色体的Z值,唯一比对的读段数,-0.09239253245011436,0.023043119929622307,605
女胎,X染色体的Z值,GC含量,-0.1842802908504617,5.05595645718149e-06,605
女胎,X染色体的Z值,被过滤掉读段数的比例,0.03321413417681322,0.41478893807103023,605
女胎,X染色体的Z值,13号染色体的Z值,0.5266239688387864,1.812005997744528e-44,605
女胎,X染色体的Z值,18号染色体的Z值,0.4807676613537332,2.5744200860617322e-36,605
女胎,X染色体的Z值,21号染色体的Z值,0.024359004232753195,0.5498386509474564,605
女胎,X染色体的Z值,X染色体的Z值,1.0,0.0,605
女胎,X染色体的Z值,X染色体浓度,0.08178751047892267,0.04433429910922236,605
女胎,X染色体的Z值,abnormal_any,-0.05494847895383707,0.17708699540362002,605
女胎,X染色体浓度,年龄,-0.012716629553579441,0.754923883943156,605
女胎,X染色体浓度,身高,0.011757624856207927,0.7728789077032336,605
女胎,X染色体浓度,体重,0.040469669409828164,0.32033447314444463,605
女胎,X染色体浓度,BMI_calc,0.012176173862257863,0.7650270460619525,605
女胎,X染色体浓度,孕周_连续值,-0.03195183964777322,0.43275480458339666,605
女胎,X染色体浓度,检测抽血次数,-0.0401915116147077,0.323674596382554,605
女胎,X染色体浓度,原始读段数,-0.044001341735618475,0.27988619184759267,605
女胎,X染色体浓度,在参考基因组上比对的比例,0.020383760230327667,0.6168009745027665,605
女胎,X染色体浓度,重复读段的比例,-0.017213069892178863,0.6726300003009555,605
女胎,X染色体浓度,唯一比对的读段数,-0.042657221772749214,0.29485249061278085,605
女胎,X染色体浓度,GC含量,-0.00328251071576543,0.9357820720800699,605
女胎,X染色体浓度,被过滤掉读段数的比例,0.03156752761368852,0.4383125368517817,605
女胎,X染色体浓度,13号染色体的Z值,0.002267186381491852,0.9556205080138317,605
女胎,X染色体浓度,18号染色体的Z值,0.07010796203039932,0.08489176152697735,605
女胎,X染色体浓度,21号染色体的Z值,-0.10468474902878609,0.009975936845650006,605
女胎,X染色体浓度,X染色体的Z值,0.08178751047892267,0.04433429910922236,605
女胎,X染色体浓度,X染色体浓度,1.0,0.0,605
女胎,X染色体浓度,abnormal_any,-0.29413420155695547,1.5391079395737533e-13,605
女胎,abnormal_any,年龄,-0.05708001029385108,0.16084882580975152,605
女胎,abnormal_any,身高,-0.04585071968995966,0.2601492206867707,605
女胎,abnormal_any,体重,-0.07151450680870712,0.07880922007881687,605
女胎,abnormal_any,BMI_calc,-0.03504438313962628,0.3895357848128621,605
女胎,abnormal_any,孕周_连续值,0.06405463032308395,0.1155119974749738,605
女胎,abnormal_any,检测抽血次数,0.0357959244423805,0.379442403802196,605
女胎,abnormal_any,原始读段数,-0.013480773925557172,0.7407105862463005,605
女胎,abnormal_any,在参考基因组上比对的比例,0.0043126413229411095,0.9156949646398784,605
女胎,abnormal_any,重复读段的比例,-0.03362653898656879,0.40901600851431763,605
女胎,abnormal_any,唯一比对的读段数,-0.009620507566560936,0.8133168306036334,605
女胎,abnormal_any,GC含量,-0.022980648479727774,0.572648828619405,605
女胎,abnormal_any,被过滤掉读段数的比例,-0.018185473550583836,0.6552972378780048,605
女胎,abnormal_any,13号染色体的Z值,-0.04065343009317912,0.31814024557704146,605
女胎,abnormal_any,18号染色体的Z值,0.013179190616260593,0.74630988582649,605
女胎,abnormal_any,21号染色体的Z值,0.055581803903359886,0.17213996684894678,605
女胎,abnormal_any,X染色体的Z值,-0.054948478953837074,0.17708699540362002,605
女胎,abnormal_any,X染色体浓度,-0.29413420155695547,1.5391079395737533e-13,605
女胎,abnormal_any,abnormal_any,1.0,0.0,605
