数据集,字段,字段来源,数据类型,非空数量,缺失数量,缺失率,唯一值数量,结构性缺失
女胎,怀孕次数,原始字段,object,605,0,0.0,3,0
女胎,生产次数,原始字段,int64,605,0,0.0,3,0
女胎,胎儿是否健康,原始字段,object,605,0,0.0,1,0
女胎,Y染色体Z值,分析字段,float64,0,605,1.0,0,1
女胎,Y染色体浓度,分析字段,float64,0,605,1.0,0,1
女胎,检测日期_日期,分析字段,datetime64[ns],605,0,0.0,229,0
女胎,末次月经_日期,分析字段,datetime64[ns],597,8,0.013223140495867768,120,0
女胎,孕周_连续值,分析字段,float64,605,0,0.0,91,0
女胎,孕周解析失败,分析字段,boolean,605,0,0.0,1,0
女胎,BMI_calc,分析字段,float64,605,0,0.0,363,0
女胎,measurement_BMI,分析字段,float64,605,0,0.0,363,0
女胎,BMI_diff,分析字段,float64,604,1,0.001652892561983471,327,0
女胎,baseline_BMI,分析字段,float64,605,0,0.0,132,0
女胎,Y相关字段_结构性缺失,分析字段,boolean,605,0,0.0,1,0
女胎,abnormal_any,分析字段,Int64,605,0,0.0,2,0
女胎,abnormal_T13,分析字段,Int64,605,0,0.0,2,0
女胎,abnormal_T18,分析字段,Int64,605,0,0.0,2,0
女胎,abnormal_T21,分析字段,Int64,605,0,0.0,2,0
女胎,异常类型_分类,分析字段,object,605,0,0.0,5,0
女胎,孕妇记录数,分析字段,Int64,605,0,0.0,8,0
女胎,孕妇不同孕周数,分析字段,Int64,605,0,0.0,5,0
女胎,孕妇检测日期数,分析字段,Int64,605,0,0.0,7,0
女胎,孕妇检测抽血次数数,分析字段,Int64,605,0,0.0,5,0
女胎,同次采血检测次数,分析字段,Int64,605,0,0.0,4,0
女胎,同孕周检测次数,分析字段,Int64,605,0,0.0,4,0
女胎,是否重复测量,分析字段,boolean,605,0,0.0,2,0
女胎,同次采血重复测量,分析字段,boolean,605,0,0.0,2,0
女胎,Y_pass,分析字段,Int64,0,605,1.0,0,0
女胎,GC_range_flag,分析字段,boolean,605,0,0.0,2,0
女胎,GC_abnormal,分析字段,boolean,605,0,0.0,2,0
女胎,孕周异常,分析字段,boolean,605,0,0.0,1,0
女胎,比例变量超界,分析字段,boolean,605,0,0.0,1,0
女胎,outlier_BMI,分析字段,boolean,605,0,0.0,2,0
女胎,outlier_GC,分析字段,boolean,605,0,0.0,2,0
女胎,outlier_Y,分析字段,boolean,605,0,0.0,1,0
女胎,outlier_reads,分析字段,boolean,605,0,0.0,2,0
